sha:8c184de80faa152e8aed188616fae62bba7c2632, dirty:True
graph | system | cache |  hidden-size | fsize  | batch-size | model  | sample_get | move-graph | move-feature | forward | backward  | epoch_time | accuracy | data_movement | edges 
ogbn-products | quiver | 0 | 16 | 100 | 4096 | GAT | 2.95 | 3.72 | 180.67 | 2.57 | 3.74 | 194.16 | 0.73  | 19282 | 235507766 
ogbn-products | quiver | .10 | 16 | 100 | 4096 | GAT | 2.92 | 3.54 | 96.23 | 2.89 | 3.79 | 109.67 | 0.69  | 10347 | 235211700 
ogbn-products | quiver | .25 | 16 | 100 | 4096 | GAT | 10.39 | 0.95 | 1.24 | 2.24 | 7.67 | 23.01 | 0.75  | 40 | 235511293 
ogbn-products | quiver | 0 | 16 | 100 | 16384 | GAT | 5.56 | 3.09 | 67.64 | 1.15 | 2.09 | 79.49 | 0.41  | 7260 | 163778106 
ogbn-products | quiver | .10 | 16 | 100 | 16384 | GAT | 5.40 | 1.25 | 39.26 | 1.61 | 2.04 | 49.81 | 0.42  | 4141 | 163824106 
ogbn-products | quiver | .25 | 16 | 100 | 16384 | GAT | 9.47 | 0.70 | 0.86 | 1.21 | 2.30 | 14.64 | 0.40  | 16 | 163775706 
ogbn-products | quiver | 0 | 16 | 100 | 1024 | GAT | 1.90 | 5.26 | 338.19 | 4.86 | 6.73 | 357.65 | 0.85  | 36082 | 271531440 
ogbn-products | quiver | .10 | 16 | 100 | 1024 | GAT | 1.91 | 5.16 | 163.23 | 5.49 | 6.47 | 182.47 | 0.85  | 17639 | 271461813 
ogbn-products | quiver | .25 | 16 | 100 | 1024 | GAT | 6.59 | 2.89 | 2.95 | 9.62 | 18.16 | 43.08 | 0.83  | 69 | 271910666 
ogbn-products | quiver | 0 | 16 | 100 | 4096 | GCN | 2.92 | 3.39 | 181.18 | 1.66 | 1.57 | 190.84 | 0.81  | 19286 | 235613773 
ogbn-products | quiver | .10 | 16 | 100 | 4096 | GCN | 3.02 | 2.65 | 96.74 | 1.90 | 1.42 | 106.15 | 0.81  | 10344 | 235159473 
ogbn-products | quiver | .25 | 16 | 100 | 4096 | GCN | 14.15 | 1.19 | 1.28 | 1.07 | 4.56 | 22.49 | 0.82  | 40 | 235258473 
ogbn-products | quiver | 0 | 16 | 100 | 16384 | GAT | 5.22 | 2.06 | 52.41 | 1.50 | 2.65 | 63.94 | 0.35  | 7256 | 163641753 
ogbn-products | quiver | .10 | 16 | 100 | 16384 | GAT | 5.71 | 1.67 | 30.77 | 1.22 | 1.95 | 41.53 | 0.33  | 4146 | 164091173 
ogbn-products | quiver | .25 | 16 | 100 | 16384 | GAT | 9.07 | 0.65 | 0.72 | 1.13 | 2.90 | 14.62 | 0.39  | 16 | 163762686 
ogbn-products | quiver | 0 | 16 | 100 | 16384 | GCN | 5.60 | 2.28 | 55.05 | 0.59 | 0.57 | 64.14 | 0.50  | 7268 | 163806873 
ogbn-products | quiver | .10 | 16 | 100 | 16384 | GCN | 5.03 | 1.67 | 30.99 | 0.75 | 1.24 | 39.92 | 0.55  | 4145 | 163782600 
ogbn-products | quiver | .25 | 16 | 100 | 16384 | GCN | 10.23 | 0.58 | 0.84 | 0.50 | 1.60 | 13.95 | 0.49  | 16 | 163716940 
reorder-papers100M | quiver | 0 | 16 | 128 | 4096 | GAT | 0.88 | 1.92 | 80.32 | 6.41 | 152.81 | 242.71 | 0.36  | 10790 | 144633680 
reorder-papers100M | quiver | .10 | 16 | 128 | 4096 | GAT | 1.87 | 6.48 | 124.17 | 5.84 | 44.77 | 184.21 | 0.42  | 17959 | 276535733 
reorder-papers100M | quiver | .25 | 16 | 128 | 4096 | GAT | 7.12 | 3.12 | 3.40 | 12.09 | 31.10 | 61.05 | 0.42  | 0 | 276557660 
amazon | quiver | 0 | 16 | 200 | 4096 | GAT | 3.79 | 7.53 | 452.69 | 9.64 | 11.18 | 485.85 | 0.26  | 56229 | 472246286 
amazon | quiver | .10 | 16 | 200 | 4096 | GAT | 3.73 | 4.92 | 273.09 | 9.28 | 10.38 | 302.42 | 0.26  | 33983 | 472153193 
amazon | quiver | .10 | 16 | 200 | 4096 | GAT | 3.65 | 5.96 | 263.82 | 8.97 | 10.29 | 293.65 | 0.26  | 34039 | 474776066 
amazon | quiver | .25 | 16 | 200 | 4096 | GAT | 11.27 | 4.78 | 4.73 | 15.25 | 27.77 | 68.45 | 0.26  | 82 | 472203320 
amazon | quiver | .10 | 16 | 200 | 4096 | GCN | 3.81 | 9.21 | 268.21 | 4.65 | 3.85 | 290.48 | 0.33  | 34038 | 474601340 
amazon | quiver | .25 | 16 | 200 | 4096 | GCN | 15.82 | 4.44 | 5.23 | 7.97 | 29.73 | 67.53 | 0.34  | 81 | 472669120 
amazon | quiver | 0 | 16 | 200 | 4096 | GCN | 3.64 | 10.67 | 454.41 | 4.72 | 4.38 | 478.55 | 0.34  | 56190 | 472415920 
reorder-papers100M | quiver | 0 | 16 | 128 | 4096 | GCN | 2.42 | 1.90 | 85.06 | 4.39 | 160.58 | 255.23 | 0.22  | 10781 | 144511966 
reorder-papers100M | quiver | .1 | 16 | 128 | 4096 | GCN | 4.11 | 9.22 | 156.52 | 3.66 | 14.06 | 188.34 | 0.33  | 23766 | 389053773 
