graph | hidden-size | cached-gper-gpu | occ-forward | occ-move | occ-slice-time
graph | hidden-size | cached-gper-gpu | occ-forward | occ-move | occ-slice-time
ogbn-arxiv | 128 | .05 | 0.27749141057332355 | 0.25979182455274796 | 0.6428317228953043
ogbn-arxiv | 128 | .24 | 0.26279211044311523 | 0.09033367368910047 | 0.5980138513776991
graph | hidden-size | cached-gper-gpu | pa-forward | pa-move | avg-cache hit rate
ogbn-arxiv | 128 | .05 | 0.15134694227907391 | 0.21344133218129477 | 0.053669946038138815
ogbn-arxiv | 128 | .24 | 0.15206328936417896 | 0.25381408135096234 | 0.24989629575490108
graph | hidden-size | cached-gper-gpu | occ-forward | occ-move | occ-slice-time
########################### RUN 23 March ####################################
graph | hidden-size | cached-gper-gpu | pa-forward | pa-move | avg-cache hit rate
ogbn-papers100M | 128 | .24 | 1584.6421567568789 | 539.002861738205 | 0.2819584197590794
ogbn-papers100M | 128 | .24 | error | error | error
graph | hidden-size | cached-gper-gpu | pa-forward | pa-move | avg-cache hit rate
ogbn-papers100M | 128 | .24 | 1703.242203587289 | 570.810898244381 | 0.2819692339469549
graph | hidden-size | cached-gper-gpu | occ-forward | occ-move | occ-slice-time
ogbn-arxiv | 128 | .05 | 0.28438258171081543 | 0.2221562067667643 | 0.6982346110873752
ogbn-arxiv | 128 | .24 | 0.25704579883151585 | 0.08389613363477919 | 0.6502561039394803
ogbn-arxiv | 128 | .5 | 0.26874613761901855 | 7.621447245279948 | 0.7100379202100966
com-youtube | 128 | .05 | 2.2831497192382812 | 1.303409218788147 | 5.3880168199539185
com-youtube | 128 | .24 | 2.3282336592674255 | 0.6842238306999207 | 5.5929935574531555
com-youtube | 128 | .5 | 1.6919392347335815 | 0.00044149160385131836 | 5.737030982971191
ogbn-products | 128 | .05 | 6.9531614780426025 | 38.57251280546188 | 132.02164900302887
ogbn-products | 128 | .24 | 6.997089087963104 | 11.578422367572784 | 141.76310342550278
ogbn-products | 128 | .5 | 5.047303557395935 | 0.0014940500259399414 | 146.6778480410576
com-orkut | 128 | .05 | 25.317172944545746 | 57.533063650131226 | 129.656747341156
com-orkut | 128 | .24 | 25.418870866298676 | 10.192603766918182 | 141.41009491682053
com-orkut | 128 | .5 | 10.70505166053772 | 0.001502394676208496 | 140.859561085701
graph | hidden-size | cached-gper-gpu | pa-forward | pa-move | avg-cache hit rate
ogbn-arxiv | 128 | .05 | 0.15417355295022328 | 0.1278322868876987 | 0.05344535365951256
ogbn-arxiv | 128 | .24 | 0.15171057808399202 | 0.14270825518502128 | 0.24971130848047884
ogbn-arxiv | 128 | .5 | 0.16293671582804783 | 0.12395573986901177 | 0.4837110693956002
com-youtube | 128 | .05 | 1.0694609390099843 | 1.1595797075165644 | 0.4422280949010872
com-youtube | 128 | .24 | 1.0458380051056544 | 0.7176067431767782 | 0.7599759117096894
com-youtube | 128 | .5 | 1.0808055308792328 | 0.7063889172342089 | 0.8631536984268177
ogbn-products | 128 | .05 | 10.79075804924965 | 16.87412004172802 | 0.08823548399603645
ogbn-products | 128 | .24 | 13.024832563877109 | 12.338915795087814 | 0.39879291040334064
ogbn-products | 128 | .5 | 9.541007217884061 | 6.7952526062726974 | 0.7418844908471907
com-orkut | 128 | .05 | 56.20701260018348 | 28.96628214418888 | 0.06840316532159321
com-orkut | 128 | .24 | 51.90019116783143 | 23.689932331442833 | 0.29424208882294045
com-orkut | 128 | .5 | 41.59970789909362 | 14.086033701896667 | 0.5642501811952262
graph | hidden-size | cached-gper-gpu | occ-forward | occ-move | occ-slice-time
ogbn-arxiv | 128 | .20 | 3.700040260950724 | 0.7380282349056668 | 5.489631096522014
com-youtube | 128 | .20 | 25.94079226255417 | 5.826405167579651 | 40.21361589431763
ogbn-products | 128 | .20 | 56.373879849910736 | 76.90651381015778 | 178.3733969926834
######################## New Run ########################333333
graph | hidden-size | cached-gper-gpu | occ-forward | occ-move | occ-slice-time 
